#j       y+           u_mean+          uu+            ww+
 1   2.005679e-01   2.011500e-01   5.479529e-03   1.622611e-03
 2   6.144156e-01   6.152416e-01   5.114987e-02   1.340026e-02
 3   1.054454e+00   1.054324e+00   1.501147e-01   3.553373e-02
 4   1.522274e+00   1.519362e+00   3.114685e-01   6.670348e-02
 5   2.019550e+00   2.010968e+00   5.442798e-01   1.055153e-01
 6   2.548044e+00   2.529213e+00   8.561695e-01   1.505419e-01
 7   3.109619e+00   3.073430e+00   1.251422e+00   2.003868e-01
 8   3.706236e+00   3.642030e+00   1.728966e+00   2.537595e-01
 9   4.339908e+00   4.232363e+00   2.280790e+00   3.095463e-01
10   5.012856e+00   4.840672e+00   2.891336e+00   3.668614e-01
11   5.727312e+00   5.462150e+00   3.538257e+00   4.250628e-01
12   6.485652e+00   6.091128e+00   4.194477e+00   4.837302e-01
13   7.290396e+00   6.721360e+00   4.831139e+00   5.426029e-01
14   8.144100e+00   7.346382e+00   5.420786e+00   6.014935e-01
15   9.049500e+00   7.959900e+00   5.940118e+00   6.601931e-01
16   1.000944e+01   8.556145e+00   6.371843e+00   7.183919e-01
17   1.102684e+01   9.130161e+00   6.705467e+00   7.756358e-01
18   1.210478e+01   9.677998e+00   6.937095e+00   8.313289e-01
19   1.324642e+01   1.019680e+01   7.068542e+00   8.847774e-01
20   1.445512e+01   1.068478e+01   7.106096e+00   9.352542e-01
21   1.573423e+01   1.114117e+01   7.059250e+00   9.820649e-01
22   1.708726e+01   1.156605e+01   6.939545e+00   1.024603e+00
23   1.851782e+01   1.196020e+01   6.759583e+00   1.062398e+00
24   2.002964e+01   1.232491e+01   6.532192e+00   1.095163e+00
25   2.162650e+01   1.266184e+01   6.269701e+00   1.122831e+00
26   2.331223e+01   1.297287e+01   5.983345e+00   1.145563e+00
27   2.509081e+01   1.326004e+01   5.682935e+00   1.163714e+00
28   2.696612e+01   1.352547e+01   5.376741e+00   1.177716e+00
29   2.894227e+01   1.377129e+01   5.071342e+00   1.187956e+00
30   3.102314e+01   1.399964e+01   4.771585e+00   1.194740e+00
31   3.321284e+01   1.421264e+01   4.481030e+00   1.198317e+00
32   3.551526e+01   1.441236e+01   4.202704e+00   1.198920e+00
33   3.793428e+01   1.460078e+01   3.939287e+00   1.196858e+00
34   4.047372e+01   1.477969e+01   3.692753e+00   1.192555e+00
35   4.313736e+01   1.495069e+01   3.464201e+00   1.186242e+00
36   4.592880e+01   1.511512e+01   3.253872e+00   1.177645e+00
37   4.885092e+01   1.527406e+01   3.060955e+00   1.166083e+00
38   5.190696e+01   1.542843e+01   2.883518e+00   1.150664e+00
39   5.510016e+01   1.557901e+01   2.719501e+00   1.130634e+00
40   5.843268e+01   1.572642e+01   2.567724e+00   1.106075e+00
41   6.190668e+01   1.587111e+01   2.427569e+00   1.077754e+00
42   6.552360e+01   1.601357e+01   2.298193e+00   1.046526e+00
43   6.928524e+01   1.615426e+01   2.178949e+00   1.012745e+00
44   7.319196e+01   1.629352e+01   2.069113e+00   9.767332e-01
45   7.724376e+01   1.643159e+01   1.967398e+00   9.395946e-01
46   8.144064e+01   1.656865e+01   1.872036e+00   9.022674e-01
47   8.578116e+01   1.670467e+01   1.781131e+00   8.649328e-01
48   9.026388e+01   1.683938e+01   1.693386e+00   8.272348e-01
49   9.488664e+01   1.697241e+01   1.608079e+00   7.891627e-01
50   9.964548e+01   1.710343e+01   1.524797e+00   7.506766e-01
51   1.045372e+02   1.723206e+01   1.443855e+00   7.114450e-01
52   1.095563e+02   1.735790e+01   1.365462e+00   6.717125e-01
53   1.146982e+02   1.748044e+01   1.289118e+00   6.327883e-01
54   1.199560e+02   1.759910e+01   1.213864e+00   5.958089e-01
55   1.253228e+02   1.771324e+01   1.138625e+00   5.610375e-01
56   1.307909e+02   1.782202e+01   1.063171e+00   5.286866e-01
57   1.363518e+02   1.792423e+01   9.884669e-01   4.991701e-01
58   1.419962e+02   1.801848e+01   9.159062e-01   4.721319e-01
59   1.477145e+02   1.810337e+01   8.472967e-01   4.472163e-01
60   1.534961e+02   1.817748e+01   7.845807e-01   4.251536e-01
61   1.593306e+02   1.823940e+01   7.297058e-01   4.067861e-01
62   1.652062e+02   1.828760e+01   6.849288e-01   3.924729e-01
63   1.711116e+02   1.832063e+01   6.526432e-01   3.826517e-01
64   1.770354e+02   1.833746e+01   6.346253e-01   3.779711e-01
